,chromosome,strand,start,end,length
nogene_chr5_334694_335692,5,+,334694,335692,999
nogene_chr5_337086_337313,5,+,337086,337313,228
nogene_chr5_353780_354363,5,+,353780,354363,584
nogene_chr5_361552_362314,5,+,361552,362314,763
nogene_chr5_363724_364129,5,-,363724,364129,406
nogene_chr5_377999_378834,5,+,377999,378834,836
nogene_chr5_395949_396274,5,+,395949,396274,326
nogene_chr5_416160_416371,5,-,416160,416371,212
nogene_chr5_424694_425453,5,+,424694,425453,760
nogene_chr5_430719_431112,5,+,430719,431112,394
nogene_chr5_431774_432157,5,-,431774,432157,384
nogene_chr5_434248_434655,5,-,434248,434655,408
nogene_chr5_434915_435655,5,-,434915,435655,741
nogene_chr5_435078_435569,5,+,435078,435569,492
nogene_chr5_438072_438595,5,+,438072,438595,524
nogene_chr5_441972_442453,5,-,441972,442453,482
nogene_chr5_460523_460874,5,+,460523,460874,352
nogene_chr5_468264_469063,5,-,468264,469063,800
nogene_chr5_475760_475995,5,-,475760,475995,236
nogene_chr5_483199_483824,5,+,483199,483824,626
nogene_chr5_488052_488458,5,-,488052,488458,407
nogene_chr5_498378_498783,5,-,498378,498783,406
nogene_chr5_498448_499139,5,+,498448,499139,692
nogene_chr5_503154_503791,5,+,503154,503791,638
nogene_chr5_509768_510115,5,-,509768,510115,348
nogene_chr5_525813_526218,5,-,525813,526218,406
nogene_chr5_526910_527174,5,-,526910,527174,265
nogene_chr5_535883_536182,5,+,535883,536182,300
nogene_chr5_541974_542211,5,-,541974,542211,238
nogene_chr5_542981_544492,5,-,542981,544492,1512
nogene_chr5_544743_544968,5,-,544743,544968,226
nogene_chr5_548443_549181,5,-,548443,549181,739
nogene_chr5_554157_556645,5,+,554157,556645,2489
nogene_chr5_563055_563271,5,+,563055,563271,217
nogene_chr5_565467_566948,5,-,565467,566948,1482
nogene_chr5_567161_567530,5,-,567161,567530,370
nogene_chr5_568836_569340,5,-,568836,569340,505
nogene_chr6_16671_17181,6,-,16671,17181,511
nogene_chr6_20188_20488,6,+,20188,20488,301
nogene_chr6_44764_45416,6,+,44764,45416,653
nogene_chr6_55003_55595,6,+,55003,55595,593
nogene_chr6_63965_64197,6,+,63965,64197,233
nogene_chr6_64611_64955,6,+,64611,64955,345
nogene_chr6_69743_71569,6,+,69743,71569,1827
nogene_chr6_71722_73315,6,+,71722,73315,1594
nogene_chr6_73611_73867,6,+,73611,73867,257
nogene_chr6_73990_74643,6,+,73990,74643,654
nogene_chr6_75115_75323,6,-,75115,75323,209
nogene_chr6_76422_77694,6,-,76422,77694,1273
nogene_chr6_78697_79348,6,+,78697,79348,652
nogene_chr6_86956_87533,6,+,86956,87533,578
nogene_chr6_89612_90806,6,+,89612,90806,1195
nogene_chr6_97508_97829,6,-,97508,97829,322
nogene_chr6_100263_100835,6,+,100263,100835,573
nogene_chr6_104158_104661,6,+,104158,104661,504
nogene_chr6_111100_111776,6,-,111100,111776,677
nogene_chr6_118695_119027,6,-,118695,119027,333
nogene_chr6_128796_129839,6,-,128796,129839,1044
nogene_chr6_130611_131517,6,-,130611,131517,907
nogene_chr6_134911_135351,6,+,134911,135351,441
nogene_chr6_143806_144492,6,+,143806,144492,687
nogene_chr6_152894_153181,6,+,152894,153181,288
nogene_chr6_157729_160178,6,-,157729,160178,2450
nogene_chr6_161613_162007,6,-,161613,162007,395
nogene_chr6_174315_174545,6,+,174315,174545,231
nogene_chr6_175877_176482,6,+,175877,176482,606
nogene_chr6_191266_191493,6,-,191266,191493,228
nogene_chr6_193751_194439,6,-,193751,194439,689
nogene_chr6_195476_196272,6,-,195476,196272,797
nogene_chr6_203555_203976,6,+,203555,203976,422
nogene_chr6_206104_207094,6,+,206104,207094,991
nogene_chr6_212821_213312,6,-,212821,213312,492
nogene_chr6_224441_224815,6,+,224441,224815,375
nogene_chr6_251921_252170,6,-,251921,252170,250
nogene_chr6_256555_258901,6,+,256555,258901,2347
nogene_chr6_259487_259729,6,+,259487,259729,243
nogene_chr6_261862_262123,6,+,261862,262123,262
nogene_chr6_262155_263683,6,-,262155,263683,1529
nogene_chr6_266043_266781,6,-,266043,266781,739
nogene_chr6_266546_266830,6,+,266546,266830,285
nogene_chr6_267185_268166,6,+,267185,268166,982
nogene_chr7_9601_10030,7,+,9601,10030,430
nogene_chr7_11088_11779,7,-,11088,11779,692
nogene_chr7_12069_13235,7,+,12069,13235,1167
nogene_chr7_13358_14269,7,+,13358,14269,912
nogene_chr7_16682_17085,7,+,16682,17085,404
nogene_chr7_17252_17605,7,-,17252,17605,354
nogene_chr7_18590_20010,7,-,18590,20010,1421
nogene_chr7_21610_21998,7,-,21610,21998,389
nogene_chr7_22693_23090,7,-,22693,23090,398
nogene_chr7_27875_28251,7,+,27875,28251,377
nogene_chr7_30483_30862,7,+,30483,30862,380
nogene_chr7_31848_35142,7,-,31848,35142,3295
nogene_chr7_48474_49193,7,-,48474,49193,720
nogene_chr7_63859_64311,7,+,63859,64311,453
nogene_chr7_73671_74575,7,-,73671,74575,905
nogene_chr7_79285_79827,7,+,79285,79827,543
nogene_chr7_80470_81043,7,+,80470,81043,574
nogene_chr7_94363_94604,7,-,94363,94604,242
nogene_chr7_94750_95430,7,-,94750,95430,681
nogene_chr7_95572_95974,7,-,95572,95974,403
nogene_chr7_96580_97093,7,-,96580,97093,514
nogene_chr7_97646_98538,7,-,97646,98538,893
nogene_chr7_108137_110305,7,-,108137,110305,2169
nogene_chr7_114964_115320,7,+,114964,115320,357
nogene_chr7_121231_121531,7,+,121231,121531,301
nogene_chr7_121884_122111,7,+,121884,122111,228
nogene_chr7_122320_122952,7,+,122320,122952,633
nogene_chr7_130668_131209,7,-,130668,131209,542
nogene_chr7_139955_141371,7,+,139955,141371,1417
nogene_chr7_147897_148569,7,+,147897,148569,673
nogene_chr7_149711_150479,7,+,149711,150479,769
nogene_chr7_162395_162842,7,-,162395,162842,448
nogene_chr7_166832_167398,7,-,166832,167398,567
nogene_chr7_173064_173780,7,+,173064,173780,717
nogene_chr7_181708_182065,7,-,181708,182065,358
nogene_chr7_205599_205948,7,+,205599,205948,350
nogene_chr7_209969_213649,7,-,209969,213649,3681
nogene_chr7_228876_229438,7,+,228876,229438,563
nogene_chr7_256312_257180,7,-,256312,257180,869
nogene_chr7_269978_270342,7,+,269978,270342,365
nogene_chr7_272356_272829,7,-,272356,272829,474
nogene_chr7_273626_273969,7,-,273626,273969,344
nogene_chr7_276344_277089,7,+,276344,277089,746
nogene_chr7_280820_281237,7,+,280820,281237,418
nogene_chr7_286073_286957,7,-,286073,286957,885
nogene_chr7_287118_287359,7,-,287118,287359,242
nogene_chr7_288855_289249,7,-,288855,289249,395
nogene_chr7_292797_293140,7,-,292797,293140,344
nogene_chr7_312158_312914,7,-,312158,312914,757
nogene_chr7_318795_319454,7,-,318795,319454,660
nogene_chr7_319803_320523,7,+,319803,320523,721
nogene_chr7_320363_320711,7,-,320363,320711,349
nogene_chr7_322946_323292,7,-,322946,323292,347
nogene_chr7_324288_324511,7,+,324288,324511,224
nogene_chr7_324806_325075,7,+,324806,325075,270
nogene_chr7_325486_326108,7,-,325486,326108,623
nogene_chr7_326299_326623,7,-,326299,326623,325
nogene_chr7_328604_328911,7,+,328604,328911,308
nogene_chr7_342662_342914,7,+,342662,342914,253
nogene_chr7_354342_355473,7,-,354342,355473,1132
nogene_chr7_359109_359860,7,-,359109,359860,752
nogene_chr7_361632_361888,7,+,361632,361888,257
nogene_chr7_362108_364093,7,+,362108,364093,1986
nogene_chr7_366455_366668,7,+,366455,366668,214
nogene_chr7_380799_381016,7,+,380799,381016,218
nogene_chr7_382194_382399,7,+,382194,382399,206
nogene_chr7_383402_383604,7,-,383402,383604,203
nogene_chr7_388984_389452,7,+,388984,389452,469
nogene_chr7_393240_393574,7,-,393240,393574,335
nogene_chr7_395125_395622,7,+,395125,395622,498
nogene_chr7_397852_398268,7,-,397852,398268,417
nogene_chr7_398401_398618,7,-,398401,398618,218
nogene_chr7_402576_403019,7,-,402576,403019,444
nogene_chr7_403284_403729,7,-,403284,403729,446
nogene_chr7_404556_404806,7,+,404556,404806,251
nogene_chr7_404925_405138,7,-,404925,405138,214
nogene_chr7_411551_412287,7,-,411551,412287,737
nogene_chr7_412658_413018,7,-,412658,413018,361
nogene_chr7_420946_421393,7,+,420946,421393,448
nogene_chr7_422207_422904,7,+,422207,422904,698
nogene_chr7_423292_424076,7,-,423292,424076,785
nogene_chr7_427066_427710,7,+,427066,427710,645
nogene_chr7_433525_435086,7,+,433525,435086,1562
nogene_chr7_437307_437909,7,+,437307,437909,603
nogene_chr7_440457_440721,7,-,440457,440721,265
nogene_chr7_454543_455195,7,-,454543,455195,653
nogene_chr7_461107_461320,7,-,461107,461320,214
nogene_chr7_469070_469464,7,+,469070,469464,395
nogene_chr7_472742_473012,7,-,472742,473012,271
nogene_chr7_475420_475873,7,-,475420,475873,454
nogene_chr7_482379_482715,7,+,482379,482715,337
nogene_chr7_490833_491153,7,+,490833,491153,321
nogene_chr7_497934_498424,7,+,497934,498424,491
nogene_chr7_506199_506625,7,-,506199,506625,427
nogene_chr7_512322_512807,7,-,512322,512807,486
nogene_chr7_515901_516161,7,-,515901,516161,261
nogene_chr7_522816_523315,7,-,522816,523315,500
nogene_chr7_525042_525529,7,-,525042,525529,488
nogene_chr7_531636_531889,7,+,531636,531889,254
nogene_chr7_535479_535769,7,-,535479,535769,291
nogene_chr7_535480_535754,7,+,535480,535754,275
nogene_chr7_543313_544827,7,-,543313,544827,1515
nogene_chr7_545157_545909,7,+,545157,545909,753
nogene_chr7_559221_559655,7,+,559221,559655,435
nogene_chr7_567693_568268,7,+,567693,568268,576
nogene_chr7_574578_575060,7,-,574578,575060,483
nogene_chr7_575871_576451,7,-,575871,576451,581
nogene_chr7_577014_579377,7,-,577014,579377,2364
nogene_chr7_582245_582470,7,+,582245,582470,226
nogene_chr7_582593_582850,7,+,582593,582850,258
nogene_chr7_593594_594055,7,-,593594,594055,462
nogene_chr7_609109_609437,7,-,609109,609437,329
nogene_chr7_609463_609887,7,+,609463,609887,425
nogene_chr7_616352_616802,7,+,616352,616802,451
nogene_chr7_620452_621905,7,+,620452,621905,1454
nogene_chr7_627236_627502,7,-,627236,627502,267
nogene_chr7_637842_638056,7,+,637842,638056,215
nogene_chr7_649564_649802,7,+,649564,649802,239
nogene_chr7_653487_653766,7,+,653487,653766,280
nogene_chr7_656140_656420,7,-,656140,656420,281
nogene_chr7_660123_661506,7,+,660123,661506,1384
nogene_chr7_667287_667691,7,-,667287,667691,405
nogene_chr7_669613_670004,7,-,669613,670004,392
nogene_chr7_671486_671776,7,-,671486,671776,291
nogene_chr7_672005_672253,7,-,672005,672253,249
nogene_chr7_677549_677806,7,-,677549,677806,258
nogene_chr7_677932_678383,7,-,677932,678383,452
nogene_chr7_683094_683347,7,+,683094,683347,254
nogene_chr7_696823_697092,7,-,696823,697092,270
nogene_chr7_700117_700554,7,+,700117,700554,438
nogene_chr7_700764_701007,7,-,700764,701007,244
nogene_chr7_701172_702054,7,-,701172,702054,883
nogene_chr7_701661_702502,7,+,701661,702502,842
nogene_chr7_702179_702536,7,-,702179,702536,358
nogene_chr7_705376_706671,7,+,705376,706671,1296
nogene_chr7_708094_708500,7,+,708094,708500,407
nogene_chr7_711871_712071,7,+,711871,712071,201
nogene_chr7_712770_713540,7,-,712770,713540,771
nogene_chr7_713839_714904,7,-,713839,714904,1066
nogene_chr7_715042_715680,7,-,715042,715680,639
nogene_chr7_718574_719107,7,-,718574,719107,534
nogene_chr7_729989_730440,7,+,729989,730440,452
nogene_chr7_731162_733079,7,+,731162,733079,1918
nogene_chr7_741681_741989,7,-,741681,741989,309
nogene_chr7_760785_760985,7,-,760785,760985,201
nogene_chr7_761705_762072,7,-,761705,762072,368
nogene_chr7_765788_766030,7,-,765788,766030,243
nogene_chr7_766480_766691,7,-,766480,766691,212
nogene_chr7_770006_771657,7,-,770006,771657,1652
nogene_chr7_778218_778926,7,+,778218,778926,709
nogene_chr7_784273_785163,7,+,784273,785163,891
nogene_chr7_785361_786028,7,+,785361,786028,668
nogene_chr7_793303_794319,7,+,793303,794319,1017
nogene_chr7_796025_796244,7,-,796025,796244,220
nogene_chr7_800090_801785,7,-,800090,801785,1696
nogene_chr7_805796_806094,7,+,805796,806094,299
nogene_chr7_808618_809007,7,+,808618,809007,390
nogene_chr7_810483_810818,7,-,810483,810818,336
nogene_chr7_811122_811391,7,+,811122,811391,270
nogene_chr7_824707_825050,7,-,824707,825050,344
nogene_chr7_828497_828714,7,-,828497,828714,218
nogene_chr7_831727_832101,7,-,831727,832101,375
nogene_chr7_833949_834592,7,+,833949,834592,644
nogene_chr7_836865_838826,7,-,836865,838826,1962
nogene_chr7_838957_840390,7,-,838957,840390,1434
nogene_chr7_849196_849572,7,+,849196,849572,377
nogene_chr7_849724_850432,7,+,849724,850432,709
nogene_chr7_850856_852044,7,+,850856,852044,1189
nogene_chr7_857553_858308,7,-,857553,858308,756
nogene_chr7_859498_859967,7,+,859498,859967,470
nogene_chr7_875361_876231,7,+,875361,876231,871
nogene_chr7_878441_878701,7,-,878441,878701,261
nogene_chr7_878484_879391,7,+,878484,879391,908
nogene_chr7_879172_879879,7,-,879172,879879,708
nogene_chr7_882925_884895,7,+,882925,884895,1971
nogene_chr7_886042_886329,7,+,886042,886329,288
nogene_chr7_901789_902144,7,+,901789,902144,356
nogene_chr7_902597_902918,7,+,902597,902918,322
nogene_chr7_903054_903535,7,+,903054,903535,482
nogene_chr7_914771_914974,7,+,914771,914974,204
nogene_chr7_931317_931844,7,-,931317,931844,528
nogene_chr7_937160_938270,7,+,937160,938270,1111
nogene_chr7_951438_951673,7,-,951438,951673,236
nogene_chr7_963529_964023,7,+,963529,964023,495
nogene_chr7_968878_970700,7,+,968878,970700,1823
nogene_chr7_974270_975285,7,+,974270,975285,1016
nogene_chr7_978368_978933,7,+,978368,978933,566
nogene_chr7_984429_984704,7,+,984429,984704,276
nogene_chr7_989134_989413,7,-,989134,989413,280
nogene_chr7_994373_994987,7,+,994373,994987,615
nogene_chr7_995827_996313,7,-,995827,996313,487
nogene_chr7_999561_1001048,7,-,999561,1001048,1488
nogene_chr7_1004239_1004457,7,+,1004239,1004457,219
nogene_chr7_1018057_1018318,7,+,1018057,1018318,262
nogene_chr7_1051071_1051279,7,+,1051071,1051279,209
nogene_chr7_1059066_1059712,7,+,1059066,1059712,647
nogene_chr7_1060348_1060949,7,+,1060348,1060949,602
nogene_chr7_1062071_1062355,7,+,1062071,1062355,285
nogene_chr7_1066036_1066848,7,-,1066036,1066848,813
nogene_chr7_1066806_1067151,7,+,1066806,1067151,346
nogene_chr7_1078691_1079538,7,+,1078691,1079538,848
nogene_chr7_1082976_1083736,7,+,1082976,1083736,761
nogene_chr8_6425_6650,8,-,6425,6650,226
nogene_chr8_6829_7172,8,-,6829,7172,344
nogene_chr8_8418_8659,8,+,8418,8659,242
nogene_chr8_10775_11048,8,+,10775,11048,274
nogene_chr8_11235_11562,8,+,11235,11562,328
nogene_chr8_14513_15806,8,-,14513,15806,1294
nogene_chr8_18045_18467,8,-,18045,18467,423
nogene_chr8_49993_50401,8,-,49993,50401,409
nogene_chr8_54767_55203,8,-,54767,55203,437
nogene_chr8_60548_60822,8,+,60548,60822,275
nogene_chr8_61037_61272,8,+,61037,61272,236
nogene_chr8_61743_62326,8,+,61743,62326,584
nogene_chr8_62840_63285,8,+,62840,63285,446
nogene_chr8_64520_65184,8,+,64520,65184,665
nogene_chr8_69666_69958,8,-,69666,69958,293
nogene_chr8_75364_75688,8,-,75364,75688,325
nogene_chr8_92119_92543,8,+,92119,92543,425
nogene_chr8_98454_98939,8,+,98454,98939,486
nogene_chr8_105054_105328,8,-,105054,105328,275
nogene_chr8_107142_107388,8,-,107142,107388,247
nogene_chr8_115319_116173,8,+,115319,116173,855
nogene_chr8_116710_116983,8,-,116710,116983,274
nogene_chr8_122125_123176,8,+,122125,123176,1052
nogene_chr8_123383_123583,8,+,123383,123583,201
nogene_chr8_127121_127450,8,-,127121,127450,330
nogene_chr8_128524_129208,8,-,128524,129208,685
nogene_chr8_131716_132069,8,-,131716,132069,354
nogene_chr8_132237_132944,8,-,132237,132944,708
nogene_chr8_146616_147826,8,+,146616,147826,1211
nogene_chr8_146687_147513,8,-,146687,147513,827
nogene_chr8_151092_151350,8,+,151092,151350,259
nogene_chr8_162543_162841,8,+,162543,162841,299
nogene_chr8_165016_166596,8,+,165016,166596,1581
nogene_chr8_170785_171267,8,+,170785,171267,483
nogene_chr8_179563_179905,8,-,179563,179905,343
nogene_chr8_181042_181610,8,-,181042,181610,569
nogene_chr8_187224_187492,8,+,187224,187492,269
nogene_chr8_198575_199007,8,+,198575,199007,433
nogene_chr8_201680_204298,8,+,201680,204298,2619
nogene_chr8_201802_204170,8,-,201802,204170,2369
nogene_chr8_208887_209147,8,-,208887,209147,261
nogene_chr8_209700_210073,8,-,209700,210073,374
nogene_chr8_221523_224134,8,+,221523,224134,2612
nogene_chr8_231298_231740,8,-,231298,231740,443
nogene_chr8_236982_237588,8,-,236982,237588,607
nogene_chr8_241806_242223,8,-,241806,242223,418
nogene_chr8_259169_260056,8,+,259169,260056,888
nogene_chr8_272004_272498,8,+,272004,272498,495
nogene_chr8_273738_274021,8,-,273738,274021,284
nogene_chr8_280429_281066,8,-,280429,281066,638
nogene_chr8_284921_285181,8,+,284921,285181,261
nogene_chr8_286423_287043,8,+,286423,287043,621
nogene_chr8_293818_296543,8,+,293818,296543,2726
nogene_chr8_314259_314865,8,+,314259,314865,607
nogene_chr8_315039_315605,8,+,315039,315605,567
nogene_chr8_318996_319704,8,-,318996,319704,709
nogene_chr8_340222_340435,8,+,340222,340435,214
nogene_chr8_347822_348053,8,-,347822,348053,232
nogene_chr8_348204_348420,8,-,348204,348420,217
nogene_chr8_348543_349437,8,-,348543,349437,895
nogene_chr8_353042_353243,8,-,353042,353243,202
nogene_chr8_354095_354480,8,-,354095,354480,386
nogene_chr8_356431_358180,8,-,356431,358180,1750
nogene_chr8_360739_361774,8,-,360739,361774,1036
nogene_chr8_364442_364984,8,+,364442,364984,543
nogene_chr8_368176_368604,8,+,368176,368604,429
nogene_chr8_378202_379469,8,+,378202,379469,1268
nogene_chr8_380824_381133,8,-,380824,381133,310
nogene_chr8_381259_381614,8,-,381259,381614,356
nogene_chr8_383328_384800,8,-,383328,384800,1473
nogene_chr8_385526_386888,8,-,385526,386888,1363
nogene_chr8_389480_389920,8,-,389480,389920,441
nogene_chr8_391847_392065,8,-,391847,392065,219
nogene_chr8_406158_406570,8,-,406158,406570,413
nogene_chr8_429483_429713,8,+,429483,429713,231
nogene_chr8_437359_437563,8,+,437359,437563,205
nogene_chr8_439765_440018,8,-,439765,440018,254
nogene_chr8_441501_441824,8,-,441501,441824,324
nogene_chr8_450137_450610,8,-,450137,450610,474
nogene_chr8_451283_451731,8,-,451283,451731,449
nogene_chr8_452026_452617,8,-,452026,452617,592
nogene_chr8_455001_455603,8,-,455001,455603,603
nogene_chr8_455981_456181,8,-,455981,456181,201
nogene_chr8_456324_458400,8,-,456324,458400,2077
nogene_chr8_460967_461350,8,-,460967,461350,384
nogene_chr8_461745_461954,8,-,461745,461954,210
nogene_chr8_463688_464717,8,-,463688,464717,1030
nogene_chr8_464561_464795,8,+,464561,464795,235
nogene_chr8_464887_465437,8,-,464887,465437,551
nogene_chr8_466200_466494,8,+,466200,466494,295
nogene_chr8_468491_468807,8,-,468491,468807,317
nogene_chr8_470247_470452,8,-,470247,470452,206
nogene_chr8_491098_491474,8,-,491098,491474,377
nogene_chr8_501387_501803,8,+,501387,501803,417
nogene_chr8_503734_504081,8,-,503734,504081,348
nogene_chr8_507682_509006,8,-,507682,509006,1325
nogene_chr8_516614_517179,8,-,516614,517179,566
nogene_chr8_516677_517328,8,+,516677,517328,652
nogene_chr8_518890_520187,8,-,518890,520187,1298
nogene_chr8_522297_522670,8,+,522297,522670,374
nogene_chr8_527621_527829,8,-,527621,527829,209
nogene_chr8_529042_529576,8,-,529042,529576,535
nogene_chr8_529913_530529,8,+,529913,530529,617
nogene_chr9_19521_20886,9,-,19521,20886,1366
nogene_chr9_23498_28568,9,+,23498,28568,5071
nogene_chr9_28425_28686,9,-,28425,28686,262
nogene_chr9_28926_30357,9,+,28926,30357,1432
nogene_chr9_31018_32649,9,+,31018,32649,1632
nogene_chr9_39075_39435,9,-,39075,39435,361
nogene_chr9_45528_45774,9,-,45528,45774,247
nogene_chr9_56314_57095,9,-,56314,57095,782
nogene_chr9_76419_76667,9,+,76419,76667,249
nogene_chr9_76806_77351,9,+,76806,77351,546
nogene_chr9_84390_84710,9,-,84390,84710,321
nogene_chr9_88165_88634,9,+,88165,88634,470
nogene_chr9_93043_93638,9,-,93043,93638,596
nogene_chr9_114799_115177,9,-,114799,115177,379
nogene_chr9_125989_126221,9,-,125989,126221,233
nogene_chr9_126469_127638,9,-,126469,127638,1170
nogene_chr9_129442_129677,9,-,129442,129677,236
nogene_chr9_132084_135193,9,-,132084,135193,3110
nogene_chr9_136349_137085,9,+,136349,137085,737
nogene_chr9_154180_154915,9,-,154180,154915,736
nogene_chr9_155054_155812,9,-,155054,155812,759
nogene_chr9_165006_165967,9,+,165006,165967,962
nogene_chr9_173332_175273,9,+,173332,175273,1942
nogene_chr9_188028_188300,9,+,188028,188300,273
nogene_chr9_195281_196184,9,-,195281,196184,904
nogene_chr9_199677_199954,9,+,199677,199954,278
nogene_chr9_202303_203092,9,+,202303,203092,790
nogene_chr9_205016_205227,9,+,205016,205227,212
nogene_chr9_205746_205954,9,-,205746,205954,209
nogene_chr9_206155_206547,9,-,206155,206547,393
nogene_chr9_207375_207607,9,+,207375,207607,233
nogene_chr9_207760_207980,9,+,207760,207980,221
nogene_chr9_208944_209629,9,+,208944,209629,686
nogene_chr9_209882_210174,9,+,209882,210174,293
nogene_chr9_218120_218319,9,+,218120,218319,200
nogene_chr9_220977_221418,9,+,220977,221418,442
nogene_chr9_222909_225836,9,+,222909,225836,2928
nogene_chr9_229924_230217,9,+,229924,230217,294
nogene_chr9_242060_242460,9,-,242060,242460,401
nogene_chr9_243386_244068,9,+,243386,244068,683
nogene_chr9_248927_249367,9,+,248927,249367,441
nogene_chr9_258736_259178,9,-,258736,259178,443
nogene_chr9_259616_260794,9,-,259616,260794,1179
nogene_chr9_277254_278175,9,-,277254,278175,922
nogene_chr9_283170_284669,9,+,283170,284669,1500
nogene_chr9_289284_292242,9,+,289284,292242,2959
nogene_chr9_304446_304701,9,+,304446,304701,256
nogene_chr9_304906_305212,9,+,304906,305212,307
nogene_chr9_308267_308545,9,+,308267,308545,279
nogene_chr9_310307_310635,9,+,310307,310635,329
nogene_chr9_324560_325525,9,+,324560,325525,966
nogene_chr9_333483_334286,9,-,333483,334286,804
nogene_chr9_337389_338194,9,+,337389,338194,806
nogene_chr9_356822_357762,9,+,356822,357762,941
nogene_chr9_362488_362866,9,-,362488,362866,379
nogene_chr9_379411_379704,9,-,379411,379704,294
nogene_chr9_381196_381635,9,-,381196,381635,440
nogene_chr9_381779_381996,9,-,381779,381996,218
nogene_chr9_387145_388426,9,+,387145,388426,1282
nogene_chr9_389433_389810,9,+,389433,389810,378
nogene_chr9_399104_399451,9,-,399104,399451,348
nogene_chr9_408345_410592,9,-,408345,410592,2248
nogene_chr9_421099_421874,9,+,421099,421874,776
nogene_chr9_427293_428225,9,-,427293,428225,933
nogene_chr9_428351_429329,9,-,428351,429329,979
nogene_chr9_436118_436968,9,+,436118,436968,851
nogene_chr9_436587_437550,9,-,436587,437550,964
nogene_chr9_437763_438097,9,-,437763,438097,335
nogene_chr10_20044_20528,10,-,20044,20528,485
nogene_chr10_29907_30602,10,-,29907,30602,696
nogene_chr10_30834_31039,10,-,30834,31039,206
nogene_chr10_31028_31308,10,+,31028,31308,281
nogene_chr10_37334_37597,10,-,37334,37597,264
nogene_chr10_50132_50639,10,+,50132,50639,508
nogene_chr10_58563_58868,10,+,58563,58868,306
nogene_chr10_63238_63470,10,-,63238,63470,233
nogene_chr10_67868_68974,10,+,67868,68974,1107
nogene_chr10_74978_75284,10,+,74978,75284,307
nogene_chr10_83300_83721,10,-,83300,83721,422
nogene_chr10_87838_88153,10,+,87838,88153,316
nogene_chr10_96740_97330,10,-,96740,97330,591
nogene_chr10_101227_101885,10,+,101227,101885,659
nogene_chr10_109836_110496,10,+,109836,110496,661
nogene_chr10_111593_112279,10,+,111593,112279,687
nogene_chr10_113475_113739,10,+,113475,113739,265
nogene_chr10_116049_116348,10,-,116049,116348,300
nogene_chr10_116563_117565,10,-,116563,117565,1003
nogene_chr10_116614_117018,10,+,116614,117018,405
nogene_chr10_123823_126437,10,+,123823,126437,2615
nogene_chr10_134302_134679,10,+,134302,134679,378
nogene_chr10_139200_140044,10,-,139200,140044,845
nogene_chr10_142396_142953,10,+,142396,142953,558
nogene_chr10_144100_144817,10,-,144100,144817,718
nogene_chr10_155071_155694,10,+,155071,155694,624
nogene_chr10_161003_161538,10,-,161003,161538,536
nogene_chr10_164978_165600,10,+,164978,165600,623
nogene_chr10_172864_173481,10,+,172864,173481,618
nogene_chr10_173650_173911,10,+,173650,173911,262
nogene_chr10_180540_180999,10,+,180540,180999,460
nogene_chr10_181527_183068,10,+,181527,183068,1542
nogene_chr10_186924_187360,10,+,186924,187360,437
nogene_chr10_187517_188250,10,+,187517,188250,734
nogene_chr10_189017_189275,10,+,189017,189275,259
nogene_chr10_196776_197034,10,-,196776,197034,259
nogene_chr10_199719_200117,10,+,199719,200117,399
nogene_chr10_200726_201206,10,+,200726,201206,481
nogene_chr10_212063_212286,10,+,212063,212286,224
nogene_chr10_217668_219112,10,+,217668,219112,1445
nogene_chr10_219913_220147,10,+,219913,220147,235
nogene_chr10_221899_222525,10,-,221899,222525,627
nogene_chr10_223802_224262,10,+,223802,224262,461
nogene_chr10_224302_227007,10,-,224302,227007,2706
nogene_chr10_227858_228429,10,-,227858,228429,572
nogene_chr10_228112_228442,10,+,228112,228442,331
nogene_chr10_229029_229244,10,+,229029,229244,216
nogene_chr10_238181_239013,10,-,238181,239013,833
nogene_chr10_247231_247812,10,-,247231,247812,582
nogene_chr10_261548_261827,10,+,261548,261827,280
nogene_chr10_262083_262445,10,+,262083,262445,363
nogene_chr10_266522_267071,10,-,266522,267071,550
nogene_chr10_267278_268283,10,-,267278,268283,1006
nogene_chr10_278390_278661,10,+,278390,278661,272
nogene_chr10_279711_280619,10,-,279711,280619,909
nogene_chr10_289692_291290,10,+,289692,291290,1599
nogene_chr10_315790_316080,10,+,315790,316080,291
nogene_chr10_316903_317326,10,-,316903,317326,424
nogene_chr10_318972_319710,10,-,318972,319710,739
nogene_chr10_322401_322996,10,-,322401,322996,596
nogene_chr10_327549_328215,10,+,327549,328215,667
nogene_chr10_333467_334001,10,-,333467,334001,535
nogene_chr10_339272_342162,10,-,339272,342162,2891
nogene_chr10_348549_348750,10,+,348549,348750,202
nogene_chr10_349227_349826,10,+,349227,349826,600
nogene_chr10_355480_355765,10,+,355480,355765,286
nogene_chr10_361058_361436,10,-,361058,361436,379
nogene_chr10_364347_365356,10,-,364347,365356,1010
nogene_chr10_374200_374403,10,-,374200,374403,204
nogene_chr10_375155_375898,10,+,375155,375898,744
nogene_chr10_389657_389969,10,+,389657,389969,313
nogene_chr10_396026_396284,10,+,396026,396284,259
nogene_chr10_404166_405023,10,-,404166,405023,858
nogene_chr10_413780_413988,10,+,413780,413988,209
nogene_chr10_414585_414853,10,+,414585,414853,269
nogene_chr10_421941_422835,10,+,421941,422835,895
nogene_chr10_442898_443556,10,+,442898,443556,659
nogene_chr10_445099_445379,10,+,445099,445379,281
nogene_chr10_450373_450578,10,-,450373,450578,206
