,chromosome,strand,start,end,length,overlapping_gene,rna_called_tss,updated_tss,promoter_start,promoter_end,gene_body_start,gene_body_end
321,4,+,965079,967315,2237,YDR254W,,29713,29713,30013,29213,29713
823,4,-,965289,967788,2500,YDR255C,,967788,967788,968088,967288,967788
824,4,-,967977,971426,3450,YDR257C,,971426,971426,971726,970926,971426
825,4,-,971655,975947,4293,YDR259C,,975947,975947,976247,975447,975947
826,4,-,976171,979202,3032,YDR261C,,979202,979202,979502,978702,979202
331,4,+,992644,994254,1611,YDR262W,,72973,72973,73273,72473,72973
829,4,-,993907,999016,5110,YDR264C,,999016,999016,999316,998516,999016
332,4,+,998672,1000053,1382,YDR265W,,73866,73866,74166,73366,73866
830,4,-,999256,1003656,4401,YDR267C,,1003656,1003656,1003956,1003156,1003656
333,4,+,1003789,1008736,4948,YDR268W,,74779,74779,75079,74279,74779
334,4,+,1008965,1011412,2448,YDR272W,,1044274,1044274,1044574,1043774,1044274
335,4,+,1011609,1013237,1629,YDR275W,,76288,76288,76588,75788,76288
834,4,-,1012960,1015766,2807,YDR277C,,1015766,1015766,1016066,1015266,1015766
835,4,-,1017051,1017194,144,YDR278C,,1017194,1017194,1017494,1016694,1017194
339,4,+,1019204,1021759,2556,YDR279W,,88164,88164,88464,87664,88164
837,4,-,1021672,1022923,1252,YDR281C,,1022923,1022923,1023223,1022423,1022923
838,4,-,1023394,1024686,1293,YDR282C,,1024686,1024686,1024986,1024186,1024686
839,4,-,1024861,1030089,5229,YDR283C,,1030089,1030089,1030389,1029589,1030089
840,4,-,1030362,1031903,1542,YDR284C,,1031903,1031903,1032203,1031403,1031903
343,4,+,1031957,1035209,3253,YDR285W,,1076036,1076036,1076336,1075536,1076036
841,4,-,1035078,1035675,598,YDR286C,,1035675,1035675,1035975,1035175,1035675
344,4,+,1035844,1038276,2433,YDR287W,,102874,102874,103174,102374,102874
842,4,-,1038046,1039507,1462,YDR289C,,1039507,1039507,1039807,1039007,1039507
345,4,+,1039718,1043166,3449,YDR290W,,105474,105474,105774,104974,105474
843,4,-,1042800,1045062,2263,YDR292C,,1045062,1045062,1045362,1044562,1045062
844,4,-,1045276,1050164,4889,YDR293C,,1050164,1050164,1050464,1049664,1050164
845,4,-,1050347,1052224,1878,YDR294C,,1052224,1052224,1052524,1051724,1052224
846,4,-,1052450,1054824,2375,YDR295C,,1054824,1054824,1055124,1054324,1054824
348,4,+,1055174,1056104,931,YDR296W,,351914,351914,352214,351414,351914
349,4,+,1056419,1057768,1350,YDR297W,,213908,213908,214208,213408,213908
848,4,-,1057905,1058913,1009,YDR298C,,1058913,1058913,1059213,1058413,1058913
351,4,+,1059585,1061484,1900,YDR299W,,356852,356852,357152,356352,356852
849,4,-,1061143,1062797,1655,YDR300C,,1062797,1062797,1063097,1062297,1062797
352,4,+,1063286,1067553,4268,YDR301W,,365751,365751,366051,365251,365751
353,4,+,1067680,1068561,882,YDR302W,,121317,121317,121617,120817,121317
850,4,-,1068571,1075475,6905,YDR306C,,1075475,1075475,1075775,1074975,1075475
357,4,+,1075827,1077982,2156,YDR307W,,22535,22535,22835,22035,22535
851,4,-,1077401,1078455,1055,YDR308C,,1078455,1078455,1078755,1077955,1078455
852,4,-,1078577,1080243,1667,YDR309C,,1080243,1080243,1080543,1079743,1080243
853,4,-,1080830,1084589,3760,YDR310C,,1084589,1084589,1084889,1084089,1084589
359,4,+,1085058,1087105,2048,YDR311W,,111581,111581,111881,111081,111581
360,4,+,1087543,1089137,1595,YDR312W,,150226,150226,150526,149726,150226
854,4,-,1089002,1093515,4514,YDR315C,,1093515,1093515,1093815,1093015,1093515
362,4,+,1093755,1095280,1526,YDR316W,,156228,156228,156528,155728,156228
365,4,+,1102179,1103575,1397,YDR317W,,169363,169363,169663,168863,169363
366,4,+,1103857,1105094,1238,YDR318W,,170089,170089,170389,169589,170089
857,4,-,1103940,1108496,4557,YDR320C-A,,1108496,1108496,1108796,1107996,1108496
368,4,+,1108212,1110053,1842,YDR320W-B,,170808,170808,171108,170308,170808
369,4,+,1110593,1111776,1184,YDR322W,,47564,47564,47864,47064,47564
858,4,-,1111679,1113980,2302,YDR323C,,1113980,1113980,1114280,1113480,1113980
859,4,-,1114147,1116699,2553,YDR324C,,1116699,1116699,1116999,1116199,1116699
371,4,+,1116895,1120558,3664,YDR325W,,52791,52791,53091,52291,52791
860,4,-,1120442,1126026,5585,YDR328C,,1126026,1126026,1126326,1125526,1126026
861,4,-,1126154,1127558,1405,YDR329C,,1127558,1127558,1127858,1127058,1127558
372,4,+,1127822,1133170,5349,YDR330W,,184645,184645,184945,184145,184645
863,4,-,1132872,1135377,2506,YDR333C,,1135377,1135377,1135677,1134877,1135377
373,4,+,1135742,1140573,4832,YDR334W,,187777,187777,188077,187277,187777
374,4,+,1140816,1146105,5290,YDR335W,,188553,188553,188853,188053,188553
375,4,+,1146274,1147217,944,YDR337W,,68932,68932,69232,68432,68932
866,4,-,1147153,1150852,3700,YDR339C,,1150852,1150852,1151152,1150352,1150852
868,4,-,1151558,1153624,2067,YDR341C,,1153624,1153624,1153924,1153124,1153624
869,4,-,1154023,1154317,295,YDR342C,,1154317,1154317,1154617,1153817,1154317
870,4,-,1155965,1156095,131,YDR342C,,1156095,1156095,1156395,1155595,1156095
877,4,-,1159456,1159702,247,YDR343C,,1159702,1159702,1160002,1159202,1159702
878,4,-,1161449,1164795,3347,YDR345C,,1164795,1164795,1165095,1164295,1164795
880,4,-,1166866,1168814,1949,YDR346C,,1168814,1168814,1169114,1168314,1168814
384,4,+,1169072,1170243,1172,YDR347W,,471104,471104,471404,470604,471104
881,4,-,1169745,1171965,2221,YDR348C,,1171965,1171965,1172265,1171465,1171965
882,4,-,1172166,1174215,2050,YDR349C,,1174215,1174215,1174515,1173715,1174215
885,4,-,1175993,1178137,2145,YDR350C,,1178137,1178137,1178437,1177637,1178137
389,4,+,1178479,1181392,2914,YDR351W,,227400,227400,227700,226900,227400
390,4,+,1181585,1189550,7966,YDR352W,,96356,96356,96656,95856,96356
888,4,-,1189039,1189619,581,YDR357C,,1189619,1189619,1189919,1189119,1189619
391,4,+,1190028,1191889,1862,YDR358W,,230817,230817,231117,230317,230817
889,4,-,1191739,1196227,4489,YDR361C,,1196227,1196227,1196527,1195727,1196227
890,4,-,1196399,1198738,2340,YDR362C,,1198738,1198738,1199038,1198238,1198738
395,4,+,1199050,1201643,2594,YDR363W,,244076,244076,244376,243576,244076
396,4,+,1201835,1202802,968,YDR363W-A,,246198,246198,246498,245698,246198
891,4,-,1202268,1204158,1891,YDR364C,,1204158,1204158,1204458,1203658,1204158
892,4,-,1204351,1206621,2271,YDR365C,,1206621,1206621,1206921,1206121,1206621
399,4,+,1212672,1214984,2313,YDR367W,,259325,259325,259625,258825,259325
893,4,-,1212677,1212789,113,YDR366C,,1212789,1212789,1213089,1212289,1212789
894,4,-,1213569,1217515,3947,YDR369C,,1217515,1217515,1217815,1217015,1217515
895,4,-,1217653,1219047,1395,YDR370C,,1219047,1219047,1219347,1218547,1219047
400,4,+,1219365,1221039,1675,YDR371W,,261147,261147,261447,260647,261147
896,4,-,1220847,1222374,1528,YDR372C,,1222374,1222374,1222674,1221874,1222374
401,4,+,1222698,1223428,731,YDR373W,,264321,264321,264621,263821,264321
897,4,-,1223425,1223670,246,YDR374C,,1223670,1223670,1223970,1223170,1223670
402,4,+,1224754,1225296,543,YDR374W-A,,267888,267888,268188,267388,267888
898,4,-,1225053,1226482,1430,YDR375C,,1226482,1226482,1226782,1225982,1226482
403,4,+,1226770,1229389,2620,YDR376W,,142558,142558,142858,142058,142558
899,4,-,1228992,1229614,623,YDR378C,,1229614,1229614,1229914,1229114,1229614
404,4,+,1230081,1233273,3193,YDR379W,,272881,272881,273181,272381,272881
901,4,-,1233030,1233564,535,YDR379C-A,,1233564,1233564,1233864,1233064,1233564
405,4,+,1234138,1236238,2101,YDR380W,,279933,279933,280233,279433,279933
406,4,+,1236473,1238335,1863,YDR381W,,158886,158886,159186,158386,158886
904,4,-,1238109,1238886,778,YDR381C-A,,1238886,1238886,1239186,1238386,1238886
409,4,+,1239413,1239984,572,YDR382W,,289225,289225,289525,288725,289225
906,4,-,1239847,1240729,883,YDR383C,,1240729,1240729,1241029,1240229,1240729
907,4,-,1240856,1242497,1642,YDR384C,,1242497,1242497,1242797,1241997,1242497
411,4,+,1241826,1243247,1422,YDR385W,,297147,297147,297447,296647,297147
414,4,+,1245514,1245952,439,YDR385W,,194752,194752,195052,194252,194752
415,4,+,1246085,1248065,1981,YDR386W,,546185,546185,546485,545685,546185
908,4,-,1247970,1249872,1903,YDR387C,,1249872,1249872,1250172,1249372,1249872
416,4,+,1250138,1251751,1614,YDR388W,,198681,198681,198981,198181,198681
417,4,+,1252024,1254964,2941,YDR389W,,308222,308222,308522,307722,308222
910,4,-,1254675,1256902,2228,YDR390C,,1256902,1256902,1257202,1256402,1256902
911,4,-,1257149,1258413,1265,YDR391C,,1258413,1258413,1258713,1257913,1258413
418,4,+,1258289,1261429,3141,YDR392W,,309594,309594,309894,309094,309594
419,4,+,1261576,1263077,1502,YDR394W,,318929,318929,319229,318429,318929
420,4,+,1263207,1266490,3284,YDR395W,,320727,320727,321027,320227,320727
914,4,-,1266158,1266908,751,YDR397C,,1266908,1266908,1267208,1266408,1266908
421,4,+,1266813,1269671,2859,YDR396W,,326174,326174,326474,325674,326174
422,4,+,1269933,1273649,3717,YDR399W,,328831,328831,329131,328331,328831
916,4,-,1272150,1272462,313,YDR402C,,1272462,1272462,1272762,1271962,1272462
423,4,+,1273791,1274610,820,YDR403W,,335673,335673,335973,335173,335673
424,4,+,1275413,1276437,1025,YDR403W,,337091,337091,337391,336591,337091
920,4,-,1276212,1277309,1098,YDR404C,,1277309,1277309,1277609,1276809,1277309
425,4,+,1277578,1278569,992,YDR405W,,338791,338791,339091,338291,338791
426,4,+,1279634,1283898,4265,YDR406W,,592517,592517,592817,592017,592517
922,4,-,1283976,1288901,4926,YDR408C,,1288901,1288901,1289201,1288401,1288901
428,4,+,1289387,1292424,3038,YDR409W,,347361,347361,347661,346861,347361
923,4,-,1291014,1294375,3362,YDR411C,,1294375,1294375,1294675,1293875,1294375
430,4,+,1294648,1295561,914,YDR412W,,420035,420035,420335,419535,420035
924,4,-,1295371,1298170,2800,YDR415C,,1298170,1298170,1298470,1297670,1298170
433,4,+,1298359,1301075,2717,YDR416W,,359364,359364,359664,358864,359364
434,4,+,1301274,1302674,1401,YDR418W,,364760,364760,365060,364260,364760
926,4,-,1301556,1301920,365,YDR417C,,1301920,1301920,1302220,1301420,1301920
435,4,+,1303175,1305438,2264,YDR419W,,366748,366748,367048,366248,366748
436,4,+,1305668,1307819,2152,YDR420W,,370652,370652,370952,370152,370652
437,4,+,1308532,1315120,6589,YDR420W,,267841,267841,268141,267341,267841
931,4,-,1314894,1319738,4845,YDR424C,,1319738,1319738,1320038,1319238,1319738
439,4,+,1320023,1322012,1990,YDR425W,,378437,378437,378737,377937,378437
440,4,+,1322167,1323530,1364,YDR427W,,381426,381426,381726,380926,381426
935,4,-,1322704,1328467,5764,YDR430C,,1328467,1328467,1328767,1327967,1328467
443,4,+,1328769,1330757,1989,YDR431W,,398107,398107,398407,397607,398107
444,4,+,1331153,1333006,1854,YDR434W,,404162,404162,404462,403662,404162
936,4,-,1332751,1334006,1256,YDR435C,,1334006,1334006,1334306,1333506,1334006
446,4,+,1334602,1337077,2476,YDR436W,,408757,408757,409057,408257,408757
447,4,+,1337303,1340937,3635,YDR437W,,410065,410065,410365,409565,410065
448,4,+,1342423,1345231,2809,YDR440W,,312451,312451,312751,311951,312451
940,4,-,1344153,1349903,5751,YDR443C,,1349903,1349903,1350203,1349403,1349903
449,4,+,1350232,1352398,2167,YDR444W,,315437,315437,315737,314937,315437
942,4,-,1354573,1355587,1015,YDR447C,,1355587,1355587,1355887,1355087,1355587
450,4,+,1356001,1357461,1461,YDR448W,,420512,420512,420812,420012,420512
944,4,-,1356594,1359347,2754,YDR449C,,1359347,1359347,1359647,1358847,1359347
452,4,+,1359856,1361018,1163,YDR450W,,425846,425846,426146,425346,425846
945,4,-,1360884,1364454,3571,YDR451C,,1364454,1364454,1364754,1363954,1364454
455,4,+,1362771,1365287,2517,YDR452W,,662311,662311,662611,661811,662311
946,4,-,1364925,1365655,731,YDR453C,,1365655,1365655,1365955,1365155,1365655
947,4,-,1366054,1366823,770,YDR454C,,1366823,1366823,1367123,1366323,1366823
457,4,+,1366992,1369521,2530,YDR456W,,668083,668083,668383,667583,668083
458,4,+,1369723,1380049,10327,YDR457W,,670170,670170,670470,669670,670170
948,4,-,1379804,1383463,3660,YDR459C,,1383463,1383463,1383763,1382963,1383463
459,4,+,1383705,1385512,1808,YDR460W,,337262,337262,337562,336762,337262
951,4,-,1385320,1385712,393,YDR461C-A,,1385712,1385712,1386012,1385212,1385712
460,4,+,1386032,1388561,2530,YDR462W,,340253,340253,340553,339753,340253
461,4,+,1388806,1393352,4547,YDR464W,,342588,342588,342888,342088,342588
952,4,-,1393136,1394658,1523,YDR465C,,1394658,1394658,1394958,1394158,1394658
462,4,+,1394809,1398189,3381,YDR466W,,454926,454926,455226,454426,454926
953,4,-,1396769,1398743,1975,YDR468C,,1398743,1398743,1399043,1398243,1398743
463,4,+,1398969,1400191,1223,YDR469W,,347148,347148,347448,346648,347148
954,4,-,1399498,1401226,1729,YDR470C,,1401226,1401226,1401526,1400726,1401226
464,4,+,1401638,1402765,1128,YDR471W,,523354,523354,523654,522854,523354
465,4,+,1402923,1404537,1615,YDR472W,,458476,458476,458776,457976,458476
958,4,-,1404201,1405832,1632,YDR473C,,1405832,1405832,1406132,1405332,1405832
959,4,-,1407321,1411105,3785,YDR476C,,1411105,1411105,1411405,1410605,1411105
469,4,+,1411463,1414396,2934,YDR477W,,466916,466916,467216,466416,466916
470,4,+,1414557,1416431,1875,YDR478W,,544933,544933,545233,544433,544933
961,4,-,1415108,1416986,1879,YDR479C,,1416986,1416986,1417286,1416486,1416986
471,4,+,1417164,1418529,1366,YDR480W,,1417164,1416864,1417164,1417164,1417664
964,4,-,1418391,1420848,2458,YDR482C,,1420848,1420848,1421148,1420348,1420848
472,4,+,1420988,1424810,3823,YDR483W,,551158,551158,551458,550658,551158
965,4,-,1424558,1430866,6309,YDR488C,,1430866,1430866,1431166,1430366,1430866
474,4,+,1431017,1432700,1684,YDR489W,,719030,719030,719330,718530,719030
966,4,-,1431124,1434286,3163,YDR490C,,1434286,1434286,1434586,1433786,1434286
477,4,+,1434597,1435973,1377,YDR492W,,534394,534394,534694,533894,534394
478,4,+,1436131,1436763,633,YDR493W,,491615,491615,491915,491115,491615
479,4,+,1436906,1438155,1250,YDR494W,,493198,493198,493498,492698,493198
968,4,-,1437872,1443396,5525,YDR496C,,1443396,1443396,1443696,1442896,1443396
969,4,-,1443532,1446952,3421,YDR498C,,1446952,1446952,1447252,1446452,1446952
481,4,+,1447864,1450177,2314,YDR499W,,377741,377741,378041,377241,377741
970,4,-,1449921,1450799,879,YDR500C,,1450799,1450799,1451099,1450299,1450799
971,4,-,1451041,1454493,3453,YDR502C,,1454493,1454493,1454793,1453993,1454493
482,4,+,1451296,1453232,1937,YDR501W,,502615,502615,502915,502115,502615
972,4,-,1454805,1455854,1050,YDR503C,,1455854,1455854,1456154,1455354,1455854
973,4,-,1456046,1461704,5659,YDR506C,,1461704,1461704,1462004,1461204,1461704
974,4,-,1462064,1465848,3785,YDR507C,,1465848,1465848,1466148,1465348,1465848
975,4,-,1466126,1468433,2308,YDR508C,,1468433,1468433,1468733,1467933,1468433
493,4,+,1469187,1470505,1319,YDR510W,,538904,538904,539204,538404,538904
976,4,-,1469810,1470242,433,YDR510C-A,,1470242,1470242,1470542,1469742,1470242
977,4,-,1470365,1470830,466,YDR512C,,1470830,1470830,1471130,1470330,1470830
494,4,+,1470978,1471559,582,YDR513W,,543825,543825,544125,543325,543825
978,4,-,1471406,1472990,1585,YDR514C,,1472990,1472990,1473290,1472490,1472990
495,4,+,1473256,1474832,1577,YDR515W,,551673,551673,551973,551173,551673
979,4,-,1474830,1476762,1933,YDR516C,,1476762,1476762,1477062,1476262,1476762
496,4,+,1476910,1480202,3293,YDR517W,,554291,554291,554591,553791,554291
497,4,+,1480387,1481345,959,YDR519W,,427343,427343,427643,426843,427343
981,4,-,1480915,1483417,2503,YDR520C,,1483417,1483417,1483717,1482917,1483417
982,4,-,1485514,1488993,3480,YDR524C,,1488993,1488993,1489293,1488493,1488993
983,4,-,1489193,1489864,672,YDR524C-A,,1489864,1489864,1490164,1489364,1489864
499,4,+,1489370,1489800,431,YDR524W-C,,563709,563709,564009,563209,563709
500,4,+,1490497,1493146,2650,YDR525W-A,,565013,565013,565313,564513,565013
501,4,+,1494313,1495972,1660,YDR528W,,568222,568222,568522,567722,568222
986,4,-,1495819,1497814,1996,YDR530C,,1497814,1497814,1498114,1497314,1497814
503,4,+,1498184,1499418,1235,YDR531W,,570781,570781,571081,570281,570781
987,4,-,1499313,1500702,1390,YDR532C,,1500702,1500702,1501002,1500202,1500702
988,4,-,1501073,1502287,1215,YDR533C,,1502287,1502287,1502587,1501787,1502287
989,4,-,1503090,1507264,4175,YDR535C,,1507264,1507264,1507564,1506764,1507264
506,4,+,1507084,1507967,884,YDR536W,,584056,584056,584356,583556,584056
507,4,+,1509700,1509825,126,YDR536W,,586135,586135,586435,585635,586135
508,4,+,1510059,1513926,3868,YDR538W,,453457,453457,453757,452957,453457
991,4,-,1511420,1511659,240,YDR537C,,1511659,1511659,1511959,1511159,1511659
996,4,-,1515308,1517920,2613,YDR540C,,1517920,1517920,1518220,1517420,1517920
997,4,-,1519244,1520817,1574,YDR541C,,1520817,1520817,1521117,1520317,1520817
219,5,-,2501,2613,113,YEL077C,,667644,667644,667944,667144,667644
220,5,-,3466,3571,106,YEL077C,,673688,673688,673988,673188,673688
221,5,-,6483,7711,1229,YEL073C,,684360,684360,684660,683860,684360
3,5,+,13638,14716,1079,YEL072W,,14155,13855,14155,14155,14655
4,5,+,16209,18062,1854,YEL071W,,29816,29516,29816,29816,30316
228,5,-,25379,26821,1443,YEL067C,,736759,736759,737059,736259,736759
9,5,+,26181,29740,3560,YEL066W,,46766,46466,46766,46766,47266
229,5,-,29446,31212,1767,YEL064C,,690029,690029,690329,689529,690029
230,5,-,31355,34315,2961,YEL063C,,696296,696296,696596,695796,696296
11,5,+,34280,36533,2254,YEL062W,,28767,28467,28767,28767,29267
231,5,-,36237,39620,3384,YEL061C,,685689,685689,685989,685189,685689
232,5,-,39777,41950,2174,YEL060C,,698795,698795,699095,698295,698795
233,5,-,42254,42989,736,YEL059C-A,,701277,701277,701577,700777,701277
13,5,+,42541,45780,3240,YEL059W,,39977,39677,39977,39977,40477
234,5,-,44769,45617,849,YEL057C,,701893,701893,702193,701393,701893
236,5,-,46513,53480,6968,YEL054C,,704826,704826,705126,704326,704826
14,5,+,46935,49777,2843,YEL056W,,62657,62357,62657,62657,63157
237,5,-,53766,56257,2492,YEL053C,,710048,710048,710348,709548,710048
19,5,+,56407,58164,1758,YEL052W,,53073,52773,53073,53073,53573
20,5,+,58328,59315,988,YEL051W,,55476,55176,55476,55476,55976
239,5,-,59442,60890,1449,YEL050C,,758552,758552,758852,758052,758552
23,5,+,63471,63709,239,YEL049W,,88147,87847,88147,88147,88647
24,5,+,64045,64182,138,YEL049W,,70271,69971,70271,70271,70771
242,5,-,64061,65133,1073,YEL048C,,725196,725196,725496,724696,725196
243,5,-,65299,66760,1462,YEL047C,,12604,12604,12904,12104,12604
244,5,-,67016,68853,1838,YEL045C,,729776,729776,730076,729276,729776
27,5,+,69275,73434,4160,YEL044W,,99007,98707,99007,99007,99507
28,5,+,73626,79641,6016,YEL042W,,103064,102764,103064,103064,103564
247,5,-,79517,80056,540,YEL039C,,732278,732278,732578,731778,732278
29,5,+,80435,81317,883,YEL038W,,105025,104725,105025,105025,105525
248,5,-,81165,82729,1565,YEL037C,,740058,740058,740358,739558,740058
249,5,-,82935,84726,1792,YEL036C,,742362,742362,742662,741862,742362
31,5,+,85121,86403,1283,YEL034W,,115256,114956,115256,115256,115756
250,5,-,85602,85707,106,YEL034C-A,,744311,744311,744611,743811,744311
251,5,-,86046,86207,162,YEL034C-A,,747201,747201,747501,746701,747201
32,5,+,86660,90045,3386,YEL033W,,115898,115598,115898,115898,116398
33,5,+,90224,94034,3811,YEL031W,,117064,116764,117064,117064,117564
34,5,+,94243,96918,2676,YEL030W,,118267,117967,118267,118267,118767
253,5,-,94538,94721,184,YEL030C-A,,758632,758632,758932,758132,758632
255,5,-,96475,97823,1349,YEL029C,,759747,759747,760047,759247,759747
36,5,+,98019,100036,2018,YEL028W,,125967,125667,125967,125967,126467
38,5,+,100711,101573,863,YEL027W,,130009,129709,130009,130009,130509
39,5,+,101808,102429,622,YEL026W,,132547,132247,132547,132547,133047
258,5,-,102275,106826,4552,YEL025C,,777289,777289,777589,776789,777289
40,5,+,107179,108489,1311,YEL024W,,135753,135453,135753,135753,136253
259,5,-,108418,111005,2588,YEL023C,,770651,770651,770951,770151,770651
42,5,+,111349,118537,7189,YEL022W,,138642,138342,138642,138642,139142
260,5,-,115759,117214,1456,YEL020C-B,,781943,781943,782243,781443,781943
262,5,-,118500,121233,2734,YEL019C,,787873,787873,788173,787373,787873
43,5,+,121478,122434,957,YEL018W,,109147,108847,109147,109147,109647
263,5,-,122222,122938,717,YEL017C-A,,789917,789917,790217,789417,789917
45,5,+,123211,131001,7791,YEL017W,,150600,150300,150600,150600,151100
265,5,-,124524,126328,1805,YEL016C,,794889,794889,795189,794389,794889
47,5,+,131685,132636,952,YEL012W,,157838,157538,157838,157838,158338
48,5,+,133029,135335,2307,YEL011W,,159842,159542,159842,159842,160342
268,5,-,135906,136294,389,YEL009C-A,,798061,798061,798361,797561,798061
269,5,-,138757,140906,2150,YEL008C-A,,799194,799194,799494,798694,799194
51,5,+,140773,141257,485,YEL008W,,166095,165795,166095,166095,166595
52,5,+,141511,144028,2518,YEL007W,,147334,147034,147334,147334,147834
53,5,+,144259,145832,1574,YEL006W,,173089,172789,173089,173089,173589
270,5,-,145754,146761,1008,YEL005C,,803650,803650,803950,803150,803650
54,5,+,146962,148696,1735,YEL004W,,174561,174261,174561,174561,175061
273,5,-,148560,150984,2425,YEL001C,,818295,818295,818595,817795,818295
59,5,+,152909,156081,3173,YER001W,,181655,181355,181655,181655,182155
60,5,+,156753,157642,890,YER002W,,189052,188752,189052,189052,189552
278,5,-,157427,159107,1681,YER003C,,826321,826321,826621,825821,826321
61,5,+,159426,166217,6792,YER004W,,191399,191099,191399,191399,191899
280,5,-,165820,167535,1716,YER007C-A,,837124,837124,837424,836624,837124
281,5,-,167693,172232,4540,YER008C,,840992,840992,841292,840492,840992
65,5,+,172017,172713,697,YER009W,,205206,204906,205206,205206,205706
282,5,-,172480,173279,800,YER010C,,843210,843210,843510,842710,843210
67,5,+,175220,176127,908,YER011W,,212109,211809,212109,212109,212609
71,5,+,177625,178620,996,YER012W,,223107,222807,223107,223107,223607
72,5,+,178834,182339,3506,YER013W,,223178,222878,223178,223178,223678
73,5,+,182579,184315,1737,YER014W,,228221,227921,228221,228221,228721
287,5,-,184160,186063,1904,YER014C-A,,14693,14693,14993,14193,14693
74,5,+,184547,187035,2489,YER015W,,231142,230842,231142,231142,231642
76,5,+,187717,189435,1719,YER016W,,230197,229897,230197,230197,230697
290,5,-,189313,194928,5616,YER019C-A,,870727,870727,871027,870227,870727
77,5,+,192405,194582,2178,YER019W,,282135,281835,282135,282135,282635
78,5,+,194913,198653,3741,YER020W,,234132,234132,234432,233632,234132
79,5,+,198798,207103,8306,YER022W,,238584,238284,238584,238584,239084
294,5,-,207401,208459,1059,YER026C,,882878,882878,883178,882378,882878
295,5,-,208659,210274,1616,YER027C,,888930,888930,889230,888430,888930
296,5,-,210427,211867,1441,YER028C,,888958,888958,889258,888458,888958
297,5,-,212465,213176,712,YER029C,,892323,892323,892623,891823,892323
84,5,+,213395,214068,674,YER030W,,254705,254405,254705,254705,255205
298,5,-,213668,214727,1060,YER031C,,895956,895956,896256,895456,895956
85,5,+,215006,217948,2943,YER032W,,255047,255047,255347,254547,255047
299,5,-,217782,221395,3614,YER033C,,900130,900130,900430,899630,900130
86,5,+,221839,223366,1528,YER034W,,254201,253901,254201,254201,254701
301,5,-,223105,225214,2110,YER036C,,906904,906904,907204,906404,906904
302,5,-,225802,229402,3601,YER039C-A,,911290,911290,911590,910790,911290
88,5,+,225843,227048,1206,YER037W,,264616,264616,264916,264116,264616
90,5,+,228457,229561,1105,YER038W-A,,271257,270957,271257,271257,271757
91,5,+,229740,232208,2469,YER040W,,273260,272960,273260,273260,273760
92,5,+,232411,235669,3259,YER041W,,280402,280102,280402,280402,280902
303,5,-,235452,237134,1683,YER043C,,912625,912625,912925,912125,912625
304,5,-,237359,239338,1980,YER044C-A,,919319,919319,919619,918819,919319
305,5,-,239814,241638,1825,YER045C,,922501,922501,922801,922001,922501
95,5,+,242590,243738,1149,YER046W,,296399,296099,296399,296399,296899
308,5,-,243593,246581,2989,YER047C,,949658,949658,949958,949158,949658
309,5,-,246750,249950,3201,YER048C,,86720,86720,87020,86220,86720
100,5,+,250633,253808,3176,YER048W-A,,303413,303413,303713,302913,303413
311,5,-,253792,254384,593,YER050C,,943103,943103,943403,942603,943103
101,5,+,254673,256326,1654,YER051W,,307888,307888,308188,307388,307888
312,5,-,256196,258034,1839,YER052C,,13479,13479,13779,12979,13479
313,5,-,258538,259971,1434,YER053C,,15047,15047,15347,14547,15047
314,5,-,260507,261321,815,YER053C-A,,15492,15492,15792,14992,15492
315,5,-,261828,264156,2329,YER054C,,16001,16001,16301,15501,16001
316,5,-,264728,265967,1240,YER055C,,16805,16805,17105,16305,16805
317,5,-,266246,270229,3984,YER056C-A,,981683,981683,981983,981183,981683
318,5,-,270386,271135,750,YER057C,,258123,258123,258423,257623,258123
110,5,+,271761,272225,465,YER058W,,326812,326512,326812,326812,327312
111,5,+,272462,274159,1698,YER059W,,348474,348474,348774,347974,348474
320,5,-,273760,280760,7001,YER062C,,989788,989788,990088,989288,989788
112,5,+,274293,276764,2472,YER060W,,383098,383098,383398,382598,383098
113,5,+,276930,277322,393,YER060W-A,,383922,383922,384222,383422,383922
114,5,+,277564,278283,720,YER060W-A,,355668,355668,355968,355168,355668
322,5,-,281540,284251,2712,YER064C,,269884,269884,270184,269384,269884
117,5,+,281608,282846,1239,YER063W,,366909,366909,367209,366409,366909
323,5,-,285090,287153,2064,YER065C,,997146,997146,997446,996646,997146
120,5,+,290097,290967,871,YER066W,,370905,370905,371205,370405,370905
121,5,+,291827,292621,795,YER067W,,373605,373605,373905,373105,373605
122,5,+,292958,294906,1949,YER068W,,379148,379148,379448,378648,379148
123,5,+,295306,298119,2814,YER069W,,386907,386607,386907,386907,387407
124,5,+,298743,302284,3542,YER070W,,393999,393999,394299,393499,393999
329,5,-,301648,302392,745,YER071C,,1023511,1023511,1023811,1023011,1023511
125,5,+,302660,303408,749,YER072W,,404958,404958,405258,404458,404958
126,5,+,303653,305839,2187,YER073W,,361297,361297,361597,360797,361297
127,5,+,306304,307402,1099,YER074W,,410281,410281,410581,409781,410281
128,5,+,307575,308418,844,YER074W-A,,412212,412212,412512,411712,412212
332,5,-,308071,311439,3369,YER075C,,73866,73866,74166,73366,73866
334,5,-,312267,316489,4223,YER077C,,1044274,1044274,1044574,1043774,1044274
132,5,+,313617,313896,280,YER076W-A,,425753,425753,426053,425253,425753
335,5,-,316631,318474,1844,YER078C,,76288,76288,76588,75788,76288
135,5,+,318870,319782,913,YER078W-A,,432497,432497,432797,431997,432497
136,5,+,319930,324255,4326,YER080W,,416989,416989,417289,416489,416989
